date,L3_HCHO_max,L3_HCHO_median,L3_HCHO_min,L3_HCHO_variance,L3_AER_AI_max,L3_AER_AI_median,L3_AER_AI_min,L3_AER_AI_variance,L3_O3_max,L3_O3_median,L3_O3_min,L3_O3_variance,L3_SO2_max,L3_SO2_median,L3_SO2_min,L3_SO2_variance,L3_CO_max,L3_CO_median,L3_CO_min,L3_CO_variance,L3_NO2_max,L3_NO2_median,L3_NO2_min,L3_NO2_variance
2018-11-25,0.0001730560907162,7.586066931253299e-05,-0.0003441903099883,1.3106516705136756e-08,-0.2478952069709077,-0.6294522096938221,-0.9766750931739808,0.0155169579891665,0.1287609965345238,0.1273168564184389,0.1264891811021436,5.28410656610143e-07,,,,,0.0343093387782573,0.0312710881910509,0.0295348791204151,1.38038260782193e-06,6.039112661869871e-05,4.785034845127705e-05,4.030195668747183e-05,3.018172459545214e-11
2018-12-02,0.0001180938706966,1.608197038591172e-06,-6.550589274214345e-05,2.5447611054301663e-09,-0.5589171200990677,-0.7114104032516493,-0.923009991645813,0.0152852034668811,0.1443483254012172,0.1432758897962234,0.141121357679367,4.125308119337051e-07,0.003764214563895,0.0037284826862571,-0.0002298564048556,3.2116168498059983e-06,0.0308707207441329,0.0293373772475095,0.0285574495792388,1.2002407341891562e-07,5.473571582115255e-05,5.008605722097343e-05,4.7315902594188304e-05,2.251321773558512e-12
2018-12-09,0.0002304585066544,4.4736382567829954e-05,-5.269574467092753e-05,3.3055676942034635e-09,-0.7313739831253887,-0.9973997578695084,-1.2630357316204122,0.0198933874739959,0.1304033994674682,0.1291334714516045,0.1278677135705948,3.7341699069386404e-07,0.0005999623099344,0.000137226888165,-0.0006063655188228,1.4464172807811137e-07,0.0338974148035049,0.0301037255848519,0.0270568206906318,1.8590390967804916e-06,6.455090442614164e-05,5.622615613223584e-05,5.057026411300946e-05,9.804056674275764e-12
2018-12-16,0.000224003160838,8.721536913229934e-06,-8.463600376115459e-05,5.609618944067705e-09,-0.834565281867981,-1.1422658564701118,-1.4683500528335571,0.0258843646680884,0.1354630252422649,0.1337111690185607,0.133001828399722,4.781457561001838e-07,0.0007108619484145,-0.000133826352155,-0.00093061325606,2.030907568458585e-07,0.0318243719827617,0.0288161449134349,0.0270168977200109,1.3560779282654955e-06,6.990789188421331e-05,6.222058075517851e-05,5.6091539590852335e-05,1.0779184375185228e-11
2018-12-23,0.0001595159906722,3.8233541999943554e-05,-4.0661190723767504e-05,2.7789137967380396e-09,-0.7318179607391357,-0.9400222066308634,-1.072834312915802,0.005232699276316,0.1437985642358915,0.1426383331957284,0.1419141590595245,3.386715268243751e-07,0.0050672283396141,0.0045675985793413,0.0033743607345979,3.857594954122493e-07,0.0328014604747295,0.03106065467,0.0289369728416204,4.948583627775442e-07,5.333391965409447e-05,4.8604771618389705e-05,4.3676007181049294e-05,4.1265811879619326e-12
2018-12-30,0.0001652316423133,3.1086078185468306e-05,-0.0001190687107737,4.534307585188247e-09,-0.6654636865235297,-1.208158008850186,-1.5065674196353802,0.0500558364181936,0.1323649838836358,0.1315270363286916,0.1302567049988455,1.9952812794906894e-07,0.0010130995651709,0.0003060611232929,-0.0004643553693315,1.727988348103809e-07,0.0338457375764846,0.0324830086901786,0.028148642112753,7.790690324726984e-07,6.924497443482674e-05,5.285106065859958e-05,4.843239819974792e-05,3.806592573428343e-11
2019-01-06,0.0001307383718085,6.231301497522328e-05,-3.393077349755913e-06,8.447363727377074e-10,-1.0139148235321045,-1.219610810279847,-1.7667389939826528,0.0241004749022265,0.152062639594078,0.1503353832076191,0.1480378434062004,5.326694729106055e-07,0.001099657878513,0.0001441878866262,-0.0009580617770555,2.216187110637356e-07,0.0339660719037056,0.0327118188142776,0.0295211691409349,6.483211484980951e-07,5.6603537814226e-05,4.931573484703135e-05,4.367189467302524e-05,6.501521946506689e-12
2019-01-13,0.0001942645903909,4.400942424663177e-05,-6.49626391160974e-05,2.3023756648476462e-09,-0.7307159994968593,-1.0298474778614413,-1.3158822905456484,0.0191955213322873,0.1506994515657425,0.1482894704591111,0.1470393016934394,7.127649162976547e-07,0.0013628399465237,0.0004232264017741,-0.0008909099851734,3.520593184493268e-07,0.034320905804634,0.0317145716398954,0.0301341125741601,1.2425584620288216e-06,6.81422752677463e-05,6.037773644190483e-05,5.2582187509938416e-05,1.9678782880133566e-11
2019-01-20,0.0001618264262621,3.0275473546414383e-05,-5.9103847888764e-05,3.367603048924695e-09,-0.5722874745546778,-0.7712821960449217,-1.1604953636313864,0.0220734158546021,0.1500467509031295,0.1410923514833631,0.139664389193058,1.3897689993740308e-05,0.0008759205229578,0.0001291623045947,-0.0004325603076724,5.574762525172326e-08,0.0332503926139122,0.03170991348328,0.0292620553350286,1.0314900867277851e-06,6.74906712221114e-05,5.671286474216712e-05,5.191716927032336e-05,8.723016537772186e-12
2019-01-27,0.0003100241883657,5.92366001658497e-05,-0.0001830716703943,8.073969811625883e-09,-0.9460548650814442,-1.2990120508476706,-1.5526631474494934,0.019922516963749,0.1498195081949234,0.1483988194786231,0.1465051174163818,6.890419028633425e-07,0.0007480710361457,0.0001323659540373,-0.0003975732218117,4.4569916067633226e-08,0.0401665959507226,0.0330294495721653,0.030565264634788,2.390046080569469e-06,6.65740722122338e-05,5.9054357303510496e-05,5.080717528471723e-05,1.6515413744656296e-11
2019-02-03,0.0005831130209107,0.0001162174481363,-0.0001369732490275,1.0410587204089805e-08,-0.2793977558612823,-0.6110717707579927,-1.100028157234192,0.0147276440292133,0.130355954170227,0.1275218340137194,0.1230815723538398,2.742189468291548e-06,0.0004152984064222,0.0003466838674067,-0.000295005167557,8.872861975782953e-08,0.0352492593228817,0.0344839021563529,0.0320088425651192,6.42500890251975e-07,6.175004818942398e-05,5.693083381127595e-05,5.28730743099004e-05,5.658814247260381e-12
2019-02-10,0.0001867863211373,3.711650522817701e-05,-6.247244346013758e-05,3.183169067950996e-09,-0.4893228113651275,-0.9085565507411956,-1.551516056060791,0.0581791977830257,0.1540351798092233,0.1529436721635393,0.1489070653915405,2.560918960171069e-06,0.0004466283426156,-6.946728952539581e-05,-0.0007992307110696,8.705668100645716e-08,0.0368887986987829,0.0336318290527314,0.0311476644128561,1.3091131042463714e-06,7.028301479294896e-05,5.957454137443561e-05,5.349544881028123e-05,1.7598170940686837e-11
2019-02-17,0.0001712054363451,3.4602066058653256e-05,-3.453394310781732e-05,1.3474302932811054e-09,-1.05385704669288,-1.4337529540061968,-1.6401728992636715,0.0176586262906423,0.1574510261416435,0.1558293713593767,0.1547904312610626,4.863650689923612e-07,0.0006646119290962,3.683391801579532e-06,-0.0006183040852902,8.443990532797439e-08,0.0374729856848716,0.0312822684645652,0.028277979415097,4.479498773331008e-06,7.297242734215662e-05,6.205257932112924e-05,5.610800690192264e-05,1.6978146282971145e-11
2019-02-24,0.000219224137254,2.268641800885197e-05,-0.0001039168128045,4.763006855719842e-09,-0.3528289430166628,-0.6216001079415657,-1.540375828742981,0.0904917014280752,0.167316161096096,0.1659781200851484,0.1610386967658996,5.200732379248614e-06,0.0009533524862488,3.422083547100908e-05,-0.0005518530379048,5.8347766714882777e-08,0.0378150520973464,0.0339896045625209,0.0304263009427224,1.4430946984611671e-06,7.690272998419617e-05,6.64797720153828e-05,6.40561047475785e-05,1.1308287472731604e-11
2019-03-03,0.0001390660648527,2.0553911954541703e-05,-7.186922812252305e-05,1.969675057258862e-09,-1.1628544330596924,-1.4212472765540602,-1.5502909421920776,0.0099730879778891,0.1361316889524459,0.1347539054327375,0.1330781728029251,5.314011657977246e-07,0.0006284748628897,0.0001119255175581,-0.0003960619797,5.851117956879898e-08,0.0409901197999715,0.036283254623413,0.031850503757596,4.9434865806612416e-06,0.0001033222789354,6.540446338476605e-05,5.875025453860872e-05,1.0633151101904023e-10
2019-03-10,0.0002229155943496,4.395870276526356e-05,-3.2040674341260456e-05,2.772340574130838e-09,-0.7570842038257644,-1.01360929012304,-1.426890850067139,0.0225796313987267,0.1470074653625488,0.1450760782089429,0.1400837749242782,3.293160758906518e-06,0.0005403727409429,-3.139042873983615e-05,-0.0006533190025951,6.503400521947394e-08,0.0367211550474166,0.0322767461126623,0.0307821799069643,3.5021496092580543e-06,7.087099947966635e-05,6.659178027039265e-05,6.016334414858807e-05,4.792759978398358e-12
2019-03-17,0.0001576411596033,6.822353177361555e-05,-6.28573516223696e-05,3.0900769119344593e-09,-1.1752978642204854,-1.4037410265932455,-1.5900495052337646,0.0090676585018377,0.1453220173716545,0.1442048736866047,0.1428758427500724,3.0011425657571965e-07,0.0006855919782536,0.0001035277039099,-0.000390105799103,4.094537131508304e-08,0.0375143888608129,0.0353552884106221,0.0328314596641903,5.359358524764935e-07,7.903226650299419e-05,7.190085055253507e-05,6.705481064273044e-05,7.85527463795747e-12
2019-03-24,0.0002174328401451,6.025680803780241e-05,-5.319472802511882e-05,2.4880120613482395e-09,-0.6034641265869141,-0.833707472740204,-1.05019149184227,0.0067098171282317,0.1673904061317443,0.1662371615785334,0.1645236049571785,2.3429210455051006e-07,0.0008036650251599,-1.1791892575274718e-05,-0.0005890475715473,8.660734117225277e-08,0.0388637750551115,0.0349396026558475,0.0303892362862825,2.509322087558093e-06,7.672183710383251e-05,6.928311631781987e-05,6.565431249327958e-05,6.585103509183868e-12
